"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www-dev.onisep.fr/195.83.117.42","443","INFO","HTTP","",""
"pre_128cipher","www-dev.onisep.fr/195.83.117.42","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www-dev.onisep.fr/195.83.117.42","443","OK","not offered","",""
"SSLv3","www-dev.onisep.fr/195.83.117.42","443","OK","not offered","",""
"TLS1","www-dev.onisep.fr/195.83.117.42","443","INFO","not offered","",""
"TLS1_1","www-dev.onisep.fr/195.83.117.42","443","INFO","not offered","",""
"TLS1_2","www-dev.onisep.fr/195.83.117.42","443","OK","offered","",""
"TLS1_3","www-dev.onisep.fr/195.83.117.42","443","OK","offered with final","",""
"ALPN","www-dev.onisep.fr/195.83.117.42","443","INFO","http/1.1","",""
"cipherlist_NULL","www-dev.onisep.fr/195.83.117.42","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www-dev.onisep.fr/195.83.117.42","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www-dev.onisep.fr/195.83.117.42","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www-dev.onisep.fr/195.83.117.42","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www-dev.onisep.fr/195.83.117.42","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www-dev.onisep.fr/195.83.117.42","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www-dev.onisep.fr/195.83.117.42","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www-dev.onisep.fr/195.83.117.42","443","OK","offered","",""
"cipher_order-tls1_2","www-dev.onisep.fr/195.83.117.42","443","OK","server","",""
"cipherorder_TLSv1_2","www-dev.onisep.fr/195.83.117.42","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www-dev.onisep.fr/195.83.117.42","443","OK","server","",""
"FS","www-dev.onisep.fr/195.83.117.42","443","OK","offered","",""
"FS_ciphers","www-dev.onisep.fr/195.83.117.42","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
