"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www-preprod.onisep.fr/213.91.3.180","443","INFO","HTTP","",""
"pre_128cipher","www-preprod.onisep.fr/213.91.3.180","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www-preprod.onisep.fr/213.91.3.180","443","OK","not offered","",""
"SSLv3","www-preprod.onisep.fr/213.91.3.180","443","OK","not offered","",""
"TLS1","www-preprod.onisep.fr/213.91.3.180","443","INFO","not offered","",""
"TLS1_1","www-preprod.onisep.fr/213.91.3.180","443","INFO","not offered","",""
"TLS1_2","www-preprod.onisep.fr/213.91.3.180","443","OK","offered","",""
"TLS1_3","www-preprod.onisep.fr/213.91.3.180","443","OK","offered with final","",""
"ALPN_HTTP2","www-preprod.onisep.fr/213.91.3.180","443","OK","h2","",""
"ALPN","www-preprod.onisep.fr/213.91.3.180","443","INFO","http/1.1","",""
"cipherlist_NULL","www-preprod.onisep.fr/213.91.3.180","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www-preprod.onisep.fr/213.91.3.180","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www-preprod.onisep.fr/213.91.3.180","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www-preprod.onisep.fr/213.91.3.180","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www-preprod.onisep.fr/213.91.3.180","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www-preprod.onisep.fr/213.91.3.180","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www-preprod.onisep.fr/213.91.3.180","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www-preprod.onisep.fr/213.91.3.180","443","OK","offered","",""
"cipher_order-tls1_2","www-preprod.onisep.fr/213.91.3.180","443","OK","server","",""
"cipherorder_TLSv1_2","www-preprod.onisep.fr/213.91.3.180","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www-preprod.onisep.fr/213.91.3.180","443","OK","server","",""
"FS","www-preprod.onisep.fr/213.91.3.180","443","OK","offered","",""
"FS_ciphers","www-preprod.onisep.fr/213.91.3.180","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www-preprod.onisep.fr/213.91.3.180","443","OK","prime256v1","",""
"TLS_extensions","www-preprod.onisep.fr/213.91.3.180","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www-preprod.onisep.fr/213.91.3.180","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www-preprod.onisep.fr/213.91.3.180","443","INFO","yes","",""
"sessionresumption_ticket","www-preprod.onisep.fr/213.91.3.180","443","INFO","supported","",""
"sessionresumption_ID","www-preprod.onisep.fr/213.91.3.180","443","INFO","supported","",""
"TLS_timestamp","www-preprod.onisep.fr/213.91.3.180","443","INFO","random","",""
"certificate_compression","www-preprod.onisep.fr/213.91.3.180","443","INFO","none","",""
"clientAuth","www-preprod.onisep.fr/213.91.3.180","443","INFO","none","",""
"cert_numbers","www-preprod.onisep.fr/213.91.3.180","443","INFO","1","",""
"cert_signatureAlgorithm","www-preprod.onisep.fr/213.91.3.180","443","OK","SHA256 with RSA","",""
"cert_keySize","www-preprod.onisep.fr/213.91.3.180","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www-preprod.onisep.fr/213.91.3.180","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www-preprod.onisep.fr/213.91.3.180","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber","www-preprod.onisep.fr/213.91.3.180","443","INFO","010625483CCCD08DCEC397C35BF553D2D619B3B4","",""
"cert_serialNumberLen","www-preprod.onisep.fr/213.91.3.180","443","INFO","20","",""
"cert_fingerprintSHA1","www-preprod.onisep.fr/213.91.3.180","443","INFO","FD735A83F840367E25F48920ABFAC36D690C400A","",""
"cert_fingerprintSHA256","www-preprod.onisep.fr/213.91.3.180","443","INFO","C06447D35A5ADEA408891430C57807C4DF9C61A10B398DE0FB8F282204896C50","",""
"cert","www-preprod.onisep.fr/213.91.3.180","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEnjCCA4agAwIBAgIUAQYlSDzM0I3Ow5fDW/VT0tYZs7QwDQYJKoZIhvcNAQELBQAwgYsxCzAJBgNVBAYTAlVTMRkwFwYDVQQKExBDbG91ZEZsYXJlLCBJbmMuMTQwMgYDVQQLEytDbG91ZEZsYXJlIE9yaWdpbiBTU0wgQ2VydGlmaWNhdGUgQXV0aG9yaXR5MRYwFAYDVQQHEw1TYW4gRnJhbmNpc2NvMRMwEQYDVQQIEwpDYWxpZm9ybmlhMB4XDTIyMDgzMDEzNTIwMFoXDTM3MDgyNjEzNTIwMFowYjEZMBcGA1UEChMQQ2xvdWRGbGFyZSwgSW5jLjEdMBsGA1UECxMUQ2xvdWRGbGFyZSBPcmlnaW4gQ0ExJjAkBgNVBAMTHUNsb3VkRmxhcmUgT3JpZ2luIENlcnRpZmljYXRlMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAkBY131HsB5GVXaFf1c9UDq0ZsbXToBa+rcN0P5jyn9k0KDL5uLzYIo1XsPVkwriqaZsf0bCQ4FcJN6Zj7K9YpzM4C2xuy+ZPBZ/tCxLrQgPS11vdGAUIow//m1ITTOg37Rls1zW9iaPqb86pM3T7JH7iHRkPtQx5uX/HaeRZZ+gj0kuSl6EHVfX8Bil/4duNKju1Szp9kf6SgoSvfOIkiheTpMdQ2BnRmN+TaJNhN6v+NUKm9ImtW2b0IcQst/5G/7jy9yaMGCkd/0R5NEsROM7Jm0AD+zD1rCfAkVLbKo2uYfD8zYVvIid1NcUWApAPwvOarb83SkaFb3ilLwhmPQIDAQABo4IBIDCCARwwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBSISjs0EvXTdFWMXTsX/yZJTocCMDAfBgNVHSMEGDAWgBQk6FNXXXw0QIep65TbuuEWePwppDBABggrBgEFBQcBAQQ0MDIwMAYIKwYBBQUHMAGGJGh0dHA6Ly9vY3NwLmNsb3VkZmxhcmUuY29tL29yaWdpbl9jYTAhBgNVHREEGjAYggsqLm9uaXNlcC5mcoIJb25pc2VwLmZyMDgGA1UdHwQxMC8wLaAroCmGJ2h0dHA6Ly9jcmwuY2xvdWRmbGFyZS5jb20vb3JpZ2luX2NhLmNybDANBgkqhkiG9w0BAQsFAAOCAQEAF7y86DJUNA/PaOSfzmJv3AbuyrI/gWgwPfhLHzhF5XZoHSxcA4i1R74p9EfjX0tOc9ZTqOXsXmN7l2Ru/A0wylyB4bKwKbqt5c7XO+e9DnupZ+WwPzfeHDzWkpvJ39RKBx2xwNS4yk8nYEJR5dM3ICr4Web1Fne8m3J5B4Z+efbsdkxzq1O/NVallhdwbMfdMKeSfUDnzyAswvhwTu3LPDEKUjSNtEo9msBFicHtsSPNFVX74FuNkCQS5cZGAIHm/Pc2JTMiCnnq6wdFvk/ujZrjocURC6BHsB440aH/FVgBSE4AVQKqwMRh8lN5MlWzPxdFlYC5DUtbE5PAoDliyA==\n-----END CERTIFICATE-----","",""
"cert_commonName","www-preprod.onisep.fr/213.91.3.180","443","OK","CloudFlare Origin Certificate","",""
"cert_commonName_wo_SNI","www-preprod.onisep.fr/213.91.3.180","443","INFO","*.onisep-preprod.fr","",""
"cert_subjectAltName","www-preprod.onisep.fr/213.91.3.180","443","INFO","*.onisep.fr onisep.fr","",""
"cert_trust","www-preprod.onisep.fr/213.91.3.180","443","OK","Ok via SAN wildcard (SNI mandatory)","",""
"cert_trust_wildcard","www-preprod.onisep.fr/213.91.3.180","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","www-preprod.onisep.fr/213.91.3.180","443","CRITICAL","failed (chain incomplete).","",""
"cert_certificatePolicies_EV","www-preprod.onisep.fr/213.91.3.180","443","INFO","no","",""
"cert_expirationStatus","www-preprod.onisep.fr/213.91.3.180","443","OK","4917 >= 60 days","",""
"cert_notBefore","www-preprod.onisep.fr/213.91.3.180","443","INFO","2022-08-30 13:52","",""
"cert_notAfter","www-preprod.onisep.fr/213.91.3.180","443","OK","2037-08-26 13:52","",""
"cert_extlifeSpan","www-preprod.onisep.fr/213.91.3.180","443","HIGH","5475 days","",""
"cert_eTLS","www-preprod.onisep.fr/213.91.3.180","443","INFO","not present","",""
"cert_crlDistributionPoints","www-preprod.onisep.fr/213.91.3.180","443","INFO","http://crl.cloudflare.com/origin_ca.crl","",""
"cert_ocspURL","www-preprod.onisep.fr/213.91.3.180","443","INFO","http://ocsp.cloudflare.com/origin_ca","",""
"OCSP_stapling","www-preprod.onisep.fr/213.91.3.180","443","LOW","not offered","",""
"cert_mustStapleExtension","www-preprod.onisep.fr/213.91.3.180","443","INFO","--","",""
"DNS_CAArecord","www-preprod.onisep.fr/213.91.3.180","443","LOW","--","",""
"certificate_transparency","www-preprod.onisep.fr/213.91.3.180","443","INFO","--","",""
"certs_countServer","www-preprod.onisep.fr/213.91.3.180","443","INFO","1","",""
"certs_list_ordering_problem","www-preprod.onisep.fr/213.91.3.180","443","INFO","no","",""
"cert_caIssuers","www-preprod.onisep.fr/213.91.3.180","443","INFO","(CloudFlare, Inc. from US)","",""
"intermediate_cert_badOCSP","www-preprod.onisep.fr/213.91.3.180","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www-preprod.onisep.fr/213.91.3.180","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","www-preprod.onisep.fr/213.91.3.180","443","INFO","Got no HTTP time, maybe try different URL?","",""
"HSTS","www-preprod.onisep.fr/213.91.3.180","443","LOW","not offered","",""
"HPKP","www-preprod.onisep.fr/213.91.3.180","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www-preprod.onisep.fr/213.91.3.180","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","www-preprod.onisep.fr/213.91.3.180","443","INFO","No application banner found","",""
"cookie_count","www-preprod.onisep.fr/213.91.3.180","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"security_headers","www-preprod.onisep.fr/213.91.3.180","443","MEDIUM","--","",""
"banner_reverseproxy","www-preprod.onisep.fr/213.91.3.180","443","INFO","--","","CWE-200"
"heartbleed","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www-preprod.onisep.fr/213.91.3.180","443","OK","supported","","CWE-310"
"secure_client_renego","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www-preprod.onisep.fr/213.91.3.180","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www-preprod.onisep.fr/213.91.3.180","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=C06447D35A5ADEA408891430C57807C4DF9C61A10B398DE0FB8F282204896C50","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM-common_primes","www-preprod.onisep.fr/213.91.3.180","443","INFO","HAProxy","CVE-2015-4000","CWE-310"
"LOGJAM","www-preprod.onisep.fr/213.91.3.180","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
