"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","HTTP","",""
"pre_128cipher","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","not offered","",""
"SSLv3","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","not offered","",""
"TLS1","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","not offered","",""
"TLS1_1","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","not offered","",""
"TLS1_2","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","offered","",""
"TLS1_3","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","offered with final","",""
"ALPN_HTTP2","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","h2","",""
"ALPN","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","http/1.1","",""
"cipherlist_NULL","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","offered","",""
"cipherlist_STRONG_FS","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","offered","",""
"cipher_order-tls1_2","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","server","",""
"cipherorder_TLSv1_2","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","server","",""
"FS","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","offered","",""
"FS_ciphers","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","yes","",""
"sessionresumption_ticket","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","supported","",""
"sessionresumption_ID","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","not supported","",""
"TLS_timestamp","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","random","",""
"certificate_compression","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","none","",""
"clientAuth","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","none","",""
"cert_numbers","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","INFO","1","",""
"cert_signatureAlgorithm","www-recette.cynodex.interieur.gouv.fr/5.39.7.192","443","OK","SHA256 with RSA","",""
