"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.info.gouv.fr/117.18.238.228","443","INFO","HTTP","",""
"pre_128cipher","www.info.gouv.fr/117.18.238.228","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.info.gouv.fr/117.18.238.228","443","OK","not offered","",""
"SSLv3","www.info.gouv.fr/117.18.238.228","443","OK","not offered","",""
"TLS1","www.info.gouv.fr/117.18.238.228","443","INFO","not offered","",""
"TLS1_1","www.info.gouv.fr/117.18.238.228","443","INFO","not offered","",""
"TLS1_2","www.info.gouv.fr/117.18.238.228","443","OK","offered","",""
"TLS1_3","www.info.gouv.fr/117.18.238.228","443","OK","offered with final","",""
"ALPN_HTTP2","www.info.gouv.fr/117.18.238.228","443","OK","h2","",""
"ALPN","www.info.gouv.fr/117.18.238.228","443","INFO","http/1.1","",""
"cipherlist_NULL","www.info.gouv.fr/117.18.238.228","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.info.gouv.fr/117.18.238.228","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.info.gouv.fr/117.18.238.228","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.info.gouv.fr/117.18.238.228","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.info.gouv.fr/117.18.238.228","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.info.gouv.fr/117.18.238.228","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.info.gouv.fr/117.18.238.228","443","OK","offered","",""
"cipherlist_STRONG_FS","www.info.gouv.fr/117.18.238.228","443","OK","offered","",""
"cipher_order-tls1_2","www.info.gouv.fr/117.18.238.228","443","OK","server","",""
"cipherorder_TLSv1_2","www.info.gouv.fr/117.18.238.228","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.info.gouv.fr/117.18.238.228","443","OK","server","",""
"FS","www.info.gouv.fr/117.18.238.228","443","OK","offered","",""
"FS_ciphers","www.info.gouv.fr/117.18.238.228","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA DHE-RSA-SEED-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.info.gouv.fr/117.18.238.228","443","OK","prime256v1","",""
"TLS_extensions","www.info.gouv.fr/117.18.238.228","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.info.gouv.fr/117.18.238.228","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.info.gouv.fr/117.18.238.228","443","INFO","yes","",""
"sessionresumption_ticket","www.info.gouv.fr/117.18.238.228","443","INFO","not supported","",""
"sessionresumption_ID","www.info.gouv.fr/117.18.238.228","443","INFO","not supported","",""
"TLS_timestamp","www.info.gouv.fr/117.18.238.228","443","INFO","random","",""
"certificate_compression","www.info.gouv.fr/117.18.238.228","443","INFO","none","",""
"clientAuth","www.info.gouv.fr/117.18.238.228","443","INFO","none","",""
"cert_numbers","www.info.gouv.fr/117.18.238.228","443","INFO","1","",""
"cert_signatureAlgorithm","www.info.gouv.fr/117.18.238.228","443","OK","SHA256 with RSA","",""
"cert_keySize","www.info.gouv.fr/117.18.238.228","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.info.gouv.fr/117.18.238.228","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.info.gouv.fr/117.18.238.228","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","www.info.gouv.fr/117.18.238.228","443","INFO","B8A70130A0BA1D7199B02DD0408658ED","",""
"cert_serialNumberLen","www.info.gouv.fr/117.18.238.228","443","INFO","16","",""
"cert_fingerprintSHA1","www.info.gouv.fr/117.18.238.228","443","INFO","501B7D95446094DEF8766047905AE757F65A88AE","",""
