"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.ira-lille.gouv.fr/51.91.236.193","443","INFO","HTTP","",""
"pre_128cipher","www.ira-lille.gouv.fr/51.91.236.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.ira-lille.gouv.fr/51.91.236.193","443","OK","not offered","",""
"SSLv3","www.ira-lille.gouv.fr/51.91.236.193","443","OK","not offered","",""
"TLS1","www.ira-lille.gouv.fr/51.91.236.193","443","INFO","not offered","",""
"TLS1_1","www.ira-lille.gouv.fr/51.91.236.193","443","INFO","not offered","",""
"TLS1_2","www.ira-lille.gouv.fr/51.91.236.193","443","OK","offered","",""
"TLS1_3","www.ira-lille.gouv.fr/51.91.236.193","443","OK","offered with final","",""
"ALPN_HTTP2","www.ira-lille.gouv.fr/51.91.236.193","443","OK","h2","",""
"cipherlist_NULL","www.ira-lille.gouv.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.ira-lille.gouv.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.ira-lille.gouv.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.ira-lille.gouv.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.ira-lille.gouv.fr/51.91.236.193","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.ira-lille.gouv.fr/51.91.236.193","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.ira-lille.gouv.fr/51.91.236.193","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.ira-lille.gouv.fr/51.91.236.193","443","OK","offered","",""
"cipher_order-tls1_2","www.ira-lille.gouv.fr/51.91.236.193","443","OK","server","",""
"cipherorder_TLSv1_2","www.ira-lille.gouv.fr/51.91.236.193","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.ira-lille.gouv.fr/51.91.236.193","443","OK","server","",""
"FS","www.ira-lille.gouv.fr/51.91.236.193","443","OK","offered","",""
