"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","audience.communication.gouv.fr/172.67.197.13","443","INFO","HTTP","",""
"pre_128cipher","audience.communication.gouv.fr/172.67.197.13","443","INFO","No 128 cipher limit bug","",""
"SSLv2","audience.communication.gouv.fr/172.67.197.13","443","OK","not offered","",""
"SSLv3","audience.communication.gouv.fr/172.67.197.13","443","OK","not offered","",""
"TLS1","audience.communication.gouv.fr/172.67.197.13","443","LOW","offered (deprecated)","",""
"TLS1_1","audience.communication.gouv.fr/172.67.197.13","443","LOW","offered (deprecated)","",""
"TLS1_2","audience.communication.gouv.fr/172.67.197.13","443","OK","offered","",""
"TLS1_3","audience.communication.gouv.fr/172.67.197.13","443","OK","offered with final","",""
"ALPN_HTTP2","audience.communication.gouv.fr/172.67.197.13","443","OK","h2","",""
"ALPN","audience.communication.gouv.fr/172.67.197.13","443","INFO","http/1.1","",""
"cipherlist_NULL","audience.communication.gouv.fr/172.67.197.13","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","audience.communication.gouv.fr/172.67.197.13","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","audience.communication.gouv.fr/172.67.197.13","443","OK","not offered","","CWE-327"
"cipherlist_LOW","audience.communication.gouv.fr/172.67.197.13","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","audience.communication.gouv.fr/172.67.197.13","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","audience.communication.gouv.fr/172.67.197.13","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","audience.communication.gouv.fr/172.67.197.13","443","INFO","not offered","",""
"cipherlist_STRONG_FS","audience.communication.gouv.fr/172.67.197.13","443","OK","offered","",""
"cipher_order-tls1","audience.communication.gouv.fr/172.67.197.13","443","OK","server","",""
"cipherorder_TLSv1","audience.communication.gouv.fr/172.67.197.13","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipher_order-tls1_1","audience.communication.gouv.fr/172.67.197.13","443","OK","server","",""
"cipherorder_TLSv1_1","audience.communication.gouv.fr/172.67.197.13","443","INFO","ECDHE-ECDSA-AES128-SHA","",""
"cipher_order-tls1_2","audience.communication.gouv.fr/172.67.197.13","443","OK","server","",""
"cipherorder_TLSv1_2","audience.communication.gouv.fr/172.67.197.13","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
