"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","HTTP","",""
"pre_128cipher","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","",""
"SSLv3","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","",""
"TLS1","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","not offered","",""
"TLS1_1","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","not offered","",""
"TLS1_2","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","offered","",""
"TLS1_3","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","offered with final","",""
"ALPN","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","not offered","",""
"cipherlist_NULL","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mieuxrespirerenville.gouv.fr/37.235.92.28","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","offered","",""
"cipherlist_STRONG_FS","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","offered","",""
"cipher_order-tls1_2","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","server","",""
"cipherorder_TLSv1_2","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","server","",""
"FS","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","offered","",""
"FS_ciphers","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","yes","",""
"sessionresumption_ticket","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","supported","",""
"sessionresumption_ID","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","supported","",""
"TLS_timestamp","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","random","",""
"certificate_compression","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","none","",""
"clientAuth","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","none","",""
"cert_numbers","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","1","",""
"cert_signatureAlgorithm","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","SHA256 with RSA","",""
"cert_keySize","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","037B740E86543312DB498D069DB9BE525D80","",""
"cert_serialNumberLen","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","18","",""
"cert_fingerprintSHA1","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","1DFC74C1684F28CC22D6361ED55A121C018D73FC","",""
"cert_fingerprintSHA256","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","AC068F9B949301362035429A000712530E0169EA8D30AFF22DE9D2662903099D","",""
"cert","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFTzCCBDegAwIBAgISA3t0DoZUMxLbSY0Gnbm+Ul2AMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjQxMjAyMDczMTUyWhcNMjUwMzAyMDczMTUxWjAnMSUwIwYDVQQDExxtaWV1eHJlc3BpcmVyZW52aWxsZS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAsSbIjGiasN/VJwac/vLigepf2jyF+Abdn5CJ3rzRmP9xb2KQGBu6lH5oiyupKzN3Y9zi6mjyJKt8ICezagS9h/wuKbOp7qmVksCsQLQVQR/rYzXrEqNgjaNdAHZfpA6arzk6oew86c4wGnuxtZwsqrushi0qC32MzshOVCUuQ5gwJbxliY32z1uIX9VXYGlvk/L74K8gOBna/3L6FVyXemew3WTmYcBE7Au7EeZd4V1aQ5VUt0ePsHGCAJwsBwHF93NBrRrL+1dkFHNiMV/7Z8tBpBhBCtasvRhDXwvvBsd8Qi2bfv8XoRqGPd1ChUuiXJka0/sVqn8cIjaRTn9cUwIDAQABo4ICZzCCAmMwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBTdMJzEuqEXVIKkCKxaGzlD1nGw/zAfBgNVHSMEGDAWgBS7vMNHpeS8qcbDpHIMEI2iNeHI6DBXBggrBgEFBQcBAQRLMEkwIgYIKwYBBQUHMAGGFmh0dHA6Ly9yMTAuby5sZW5jci5vcmcwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTAuaS5sZW5jci5vcmcvMG4GA1UdEQRnMGWCHG1pZXV4cmVzcGlyZXJlbnZpbGxlLmdvdXYuZnKCI3N0cmFwaS5taWV1eHJlc3BpcmVyZW52aWxsZS5nb3V2LmZygiB3d3cubWlldXhyZXNwaXJlcmVudmlsbGUuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2AH1ZHhLheCp7HGFnfF79+NCHXBSgTpWeuQMv2Q6MLnm4AAABk4Z99pwAAAQDAEcwRQIgFrpepmFfs5JhcE1vm5zQ18o9GfQbVaUrHAxHlANEPjkCIQCN9jt8J4f9hR9JSpR3C+dkbIy54AOuSIYdAeGsE7AKfwB2AKLjCuRF772tm3447Udnd1PXgluElNcrXhssxLlQpEfnAAABk4Z99p8AAAQDAEcwRQIgKACXBR/WqASunbYGNMtGrO1NSztK+RQW14QAwHzAC+8CIQDhobRedIcHVmycXYX1mO8bksW0DSMPl/mhO2D722Y9BzANBgkqhkiG9w0BAQsFAAOCAQEAJVPtFygBQjuLFRLXljv1HG/C/ZVXBt2lNZPw7K31ZA0O6MB/RHx1+ZYf6avz3WbTGR4m2m5rIk2XZ/zfczIx7fHzKYOq6ysZBciaxEp+7DQ5qs6RCuVaYLLiKR/Ibdhn5qlKdqr30opHY8VFNi+EBtGOKuh4PqjR3DF8Y3ChGeMZe1LOV+6INjJlZsU5p9/gqAR7QXlYw6FubQQQSItW5RzE52tHbPBUvoPCpqndAZfk+rtk5FwmpDN42XYF+Gpqf/D3CnRzT20KlEUhA2rRuPUNFAjMPZg0pOdvF8U3mmt0s1JVaGLh+CIitfllcYeaxjXxQ1hNwXKnNVjPru8llQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","mieuxrespirerenville.gouv.fr","",""
"cert_commonName_wo_SNI","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","zfe-portal.norsys.io","",""
"cert_subjectAltName","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","mieuxrespirerenville.gouv.fr strapi.mieuxrespirerenville.gouv.fr www.mieuxrespirerenville.gouv.fr","",""
"cert_trust","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","passed.","",""
"cert_certificatePolicies_EV","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","no","",""
"cert_expirationStatus","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","77 >= 30 days","",""
"cert_notBefore","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","2024-12-02 07:31","",""
"cert_notAfter","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","2025-03-02 07:31","",""
"cert_extlifeSpan","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","not present","",""
"cert_crlDistributionPoints","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","--","",""
"cert_ocspURL","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","http://r10.o.lencr.org","",""
"OCSP_stapling","mieuxrespirerenville.gouv.fr/37.235.92.28","443","LOW","not offered","",""
"cert_mustStapleExtension","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","--","",""
"DNS_CAArecord","mieuxrespirerenville.gouv.fr/37.235.92.28","443","LOW","--","",""
"certificate_transparency","mieuxrespirerenville.gouv.fr/37.235.92.28","443","OK","yes (certificate extension)","",""
"certs_countServer","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","3","",""
"certs_list_ordering_problem","mieuxrespirerenville.gouv.fr/37.235.92.28","443","INFO","no","",""
