"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","HTTP","",""
"pre_128cipher","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","",""
"SSLv3","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","",""
"TLS1","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered","",""
"TLS1_1","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered","",""
"TLS1_2","pacte-industrie.ademe.fr/62.4.4.87","443","OK","offered","",""
"TLS1_3","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","pacte-industrie.ademe.fr/62.4.4.87","443","OK","h2","",""
"ALPN","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","http/1.1","",""
"cipherlist_NULL","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pacte-industrie.ademe.fr/62.4.4.87","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pacte-industrie.ademe.fr/62.4.4.87","443","OK","offered","",""
"cipher_order-tls1_2","pacte-industrie.ademe.fr/62.4.4.87","443","OK","server","",""
"cipherorder_TLSv1_2","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","pacte-industrie.ademe.fr/62.4.4.87","443","OK","server","",""
"FS","pacte-industrie.ademe.fr/62.4.4.87","443","OK","offered","",""
"FS_ciphers","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","pacte-industrie.ademe.fr/62.4.4.87","443","OK","prime256v1","",""
"TLS_extensions","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","yes","",""
"sessionresumption_ticket","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","supported","",""
"sessionresumption_ID","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","not supported","",""
"TLS_timestamp","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","random","",""
"cert_compression","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","N/A","",""
"clientAuth","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","none","",""
"cert_numbers","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","1","",""
"cert_signatureAlgorithm","pacte-industrie.ademe.fr/62.4.4.87","443","OK","SHA256 with RSA","",""
"cert_keySize","pacte-industrie.ademe.fr/62.4.4.87","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","Digital Signature","",""
"cert_extKeyUsage","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","03D867B8E98D14008DBA3A510E1367051934","",""
"cert_serialNumberLen","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","18","",""
"cert_fingerprintSHA1","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","E3BA6FBBD4C5597A4383DABB0728A414561385F0","",""
"cert_fingerprintSHA256","pacte-industrie.ademe.fr/62.4.4.87","443","INFO","A79BA3F8285FF3E08577110FF65CB74CA8069F791E96171A1867A298A7C6BAC1","",""
