"id","fqdn/ip","port","severity","finding","cve","cwe"
"optimal_proto","recherche.ademe.fr/20.74.54.57","443","INFO","recherche.ademe.fr:443 appears to support TLS 1.3 ONLY, switching from /home/testssl/bin/openssl.Linux.x86_64 to /usr/bin/openssl automagically","",""
"service","recherche.ademe.fr/20.74.54.57","443","INFO","HTTP","",""
"pre_128cipher","recherche.ademe.fr/20.74.54.57","443","INFO","No 128 cipher limit bug","",""
"SSLv2","recherche.ademe.fr/20.74.54.57","443","OK","not offered","",""
"SSLv3","recherche.ademe.fr/20.74.54.57","443","OK","not offered","",""
"TLS1","recherche.ademe.fr/20.74.54.57","443","INFO","not offered","",""
"TLS1_1","recherche.ademe.fr/20.74.54.57","443","INFO","not offered","",""
"TLS1_2","recherche.ademe.fr/20.74.54.57","443","INFO","not offered","",""
"TLS1_3","recherche.ademe.fr/20.74.54.57","443","OK","offered with final","",""
"ALPN_HTTP2","recherche.ademe.fr/20.74.54.57","443","OK","h2","",""
"cipherlist_NULL","recherche.ademe.fr/20.74.54.57","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","recherche.ademe.fr/20.74.54.57","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","recherche.ademe.fr/20.74.54.57","443","OK","not offered","","CWE-327"
"cipherlist_LOW","recherche.ademe.fr/20.74.54.57","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","recherche.ademe.fr/20.74.54.57","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","recherche.ademe.fr/20.74.54.57","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","recherche.ademe.fr/20.74.54.57","443","INFO","not offered","",""
"cipherlist_STRONG_FS","recherche.ademe.fr/20.74.54.57","443","MEDIUM","not offered","",""
"cipher_order","recherche.ademe.fr/20.74.54.57","443","INFO","server (TLS 1.3)","",""
"FS","recherche.ademe.fr/20.74.54.57","443","OK","offered","",""
"FS_ciphers","recherche.ademe.fr/20.74.54.57","443","INFO","","",""
"TLS_extensions","recherche.ademe.fr/20.74.54.57","443","INFO","'supported versions/#43' 'key share/#51'","",""
"TLS_session_ticket","recherche.ademe.fr/20.74.54.57","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","recherche.ademe.fr/20.74.54.57","443","INFO","no","",""
"sessionresumption_ticket","recherche.ademe.fr/20.74.54.57","443","INFO","not supported","",""
"sessionresumption_ID","recherche.ademe.fr/20.74.54.57","443","INFO","No Session ID, no resumption","",""
"TLS_timestamp","recherche.ademe.fr/20.74.54.57","443","INFO","random","",""
"certificate_compression","recherche.ademe.fr/20.74.54.57","443","INFO","none","",""
"clientAuth","recherche.ademe.fr/20.74.54.57","443","INFO","none","",""
"cert_numbers","recherche.ademe.fr/20.74.54.57","443","INFO","1","",""
"cert_signatureAlgorithm","recherche.ademe.fr/20.74.54.57","443","OK","SHA256 with RSA","",""
"cert_keySize","recherche.ademe.fr/20.74.54.57","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","recherche.ademe.fr/20.74.54.57","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","recherche.ademe.fr/20.74.54.57","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","recherche.ademe.fr/20.74.54.57","443","INFO","037711E6CE5A4FCCB769F4509DE0B2AFA40E","",""
"cert_serialNumberLen","recherche.ademe.fr/20.74.54.57","443","INFO","18","",""
"cert_fingerprintSHA1","recherche.ademe.fr/20.74.54.57","443","INFO","D03AE7D80704948148EAE25AB08167659BED8DCF","",""
"cert_fingerprintSHA256","recherche.ademe.fr/20.74.54.57","443","INFO","2F91C1594FEF0929DC2D260E10F12B491246F9399311364CC0EFC2FF5A184A30","",""
"cert","recherche.ademe.fr/20.74.54.57","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE9DCCA9ygAwIBAgISA3cR5s5aT8y3afRQneCyr6QOMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjQwNzMwMTQyNTE3WhcNMjQxMDI4MTQyNTE2WjAdMRswGQYDVQQDExJyZWNoZXJjaGUuYWRlbWUuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCwynWT9fDN8iXxu7YN5zFjfNJeLDcNS4cNgN+ZJSgnMQr5spOk3LrjSuYU7N6Cz/9N8vITeKwr9KynnLxVgZniXH3ycIARCtOe9L6uwxXA0Y0ylb3MBGI6MV4y5GQo9zZNArSi7olztP4SU82jXjSzNrBlfYLE5uf08ME8PJpTfkMwSESP7pOfeYa7yxkW73vrdyIX4TWFtgOYhSA+k3/u9yI+DGIQgHMbC9Upz67FmvyO4oMoV8yudOJDJhaix7VuFXd4Ob5th5vE66YDh2hPKssWsyOoUmZ1AFG/fBkeUc2p2T55LAbD1mgK/zWqUNnS2jfq91eSKHu0WvhqhKhRAgMBAAGjggIWMIICEjAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFESloGWm9bufYmoJcBZay7Ef+3+mMB8GA1UdIwQYMBaAFLu8w0el5LypxsOkcgwQjaI14cjoMFcGCCsGAQUFBwEBBEswSTAiBggrBgEFBQcwAYYWaHR0cDovL3IxMC5vLmxlbmNyLm9yZzAjBggrBgEFBQcwAoYXaHR0cDovL3IxMC5pLmxlbmNyLm9yZy8wHQYDVR0RBBYwFIIScmVjaGVyY2hlLmFkZW1lLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYAPxdLT9ciR1iUHWUchL4NEu2QN38fhWrrwb8ohez4ZG4AAAGRBD7qGwAABAMARzBFAiBVFhTxYTWYxB2To6no+ixete7lNjspbO/xkY0XPI8G+AIhAKR8NETbGr3tlk+Auu34gNbIwVDZ7TrS2OV3+0hKgyK4AHYAGZgQcQnw1lIuMIDSnj9ku4NuKMz5D1KO7t/OSj8WtMoAAAGRBD7qZgAABAMARzBFAiB2lLrEsc5Zt2sDNST5r8xAEOsrmu6q+VD03LvZ8381WAIhAJeYllAHDZ9+F7lOwKJKkFXpo0dz8CjxSZzdMXMhhVpHMA0GCSqGSIb3DQEBCwUAA4IBAQCvd2OrG44W91wxY8klyMGRj0Sk8WXrtoyKEuvzaxDHVmPYcPFjZ5C0XUuz9U3M0wdn12CcE82JYVisjF9mMrdbMV2d0d2xUVjbWIsR+dr6kvuJbILGeFDkinEQoQaRE4O1FQClRWquXb/1GverBjrWFC41Xb/gwgbY3Q+iUuanal/Hj0/QwikZw6dPtxluyr59qsrMKUQoRMqLrIJ0CLhQbSf922GmiReR+Nw5zi3QKzVfDmZGKtTA8Q+3BE0OEkwiw+lM0ghhfpXSr3FGhSRncMAW5CLx3ULkCbCB7JPjrRFyD/07jmuwNwjr9UeSDlegKIWznb6q9tARM9j+DzmI\n-----END CERTIFICATE-----","",""
"cert_commonName","recherche.ademe.fr/20.74.54.57","443","OK","recherche.ademe.fr","",""
"cert_commonName_wo_SNI","recherche.ademe.fr/20.74.54.57","443","INFO","recherche.ademe.fr","",""
"cert_subjectAltName","recherche.ademe.fr/20.74.54.57","443","INFO","recherche.ademe.fr","",""
"cert_trust","recherche.ademe.fr/20.74.54.57","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","recherche.ademe.fr/20.74.54.57","443","OK","passed.","",""
"cert_certificatePolicies_EV","recherche.ademe.fr/20.74.54.57","443","INFO","no","",""
"cert_expirationStatus","recherche.ademe.fr/20.74.54.57","443","OK","44 >= 30 days","",""
"cert_notBefore","recherche.ademe.fr/20.74.54.57","443","INFO","2024-07-30 14:25","",""
"cert_notAfter","recherche.ademe.fr/20.74.54.57","443","OK","2024-10-28 14:25","",""
"cert_extlifeSpan","recherche.ademe.fr/20.74.54.57","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","recherche.ademe.fr/20.74.54.57","443","INFO","not present","",""
"cert_crlDistributionPoints","recherche.ademe.fr/20.74.54.57","443","INFO","--","",""
"cert_ocspURL","recherche.ademe.fr/20.74.54.57","443","INFO","http://r10.o.lencr.org","",""
"OCSP_stapling","recherche.ademe.fr/20.74.54.57","443","LOW","not offered","",""
"cert_mustStapleExtension","recherche.ademe.fr/20.74.54.57","443","INFO","--","",""
"DNS_CAArecord","recherche.ademe.fr/20.74.54.57","443","LOW","--","",""
"certificate_transparency","recherche.ademe.fr/20.74.54.57","443","OK","yes (certificate extension)","",""
"certs_countServer","recherche.ademe.fr/20.74.54.57","443","INFO","2","",""
"certs_list_ordering_problem","recherche.ademe.fr/20.74.54.57","443","INFO","no","",""
"cert_caIssuers","recherche.ademe.fr/20.74.54.57","443","INFO","R10 (Let's Encrypt from US)","",""
