"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","recrutement.ademe.fr/51.178.115.149","443","INFO","HTTP","",""
"pre_128cipher","recrutement.ademe.fr/51.178.115.149","443","INFO","No 128 cipher limit bug","",""
"SSLv2","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","",""
"SSLv3","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","",""
"TLS1","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","",""
"TLS1_1","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","",""
"TLS1_2","recrutement.ademe.fr/51.178.115.149","443","OK","offered","",""
"TLS1_3","recrutement.ademe.fr/51.178.115.149","443","OK","offered with final","",""
"ALPN","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","",""
"cipherlist_NULL","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","","CWE-327"
"cipherlist_LOW","recrutement.ademe.fr/51.178.115.149","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","recrutement.ademe.fr/51.178.115.149","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","recrutement.ademe.fr/51.178.115.149","443","INFO","not offered","",""
"cipherlist_STRONG_FS","recrutement.ademe.fr/51.178.115.149","443","OK","offered","",""
"cipher_order-tls1_2","recrutement.ademe.fr/51.178.115.149","443","OK","server","",""
"cipherorder_TLSv1_2","recrutement.ademe.fr/51.178.115.149","443","INFO","DHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","recrutement.ademe.fr/51.178.115.149","443","OK","server","",""
"FS","recrutement.ademe.fr/51.178.115.149","443","OK","offered","",""
"FS_ciphers","recrutement.ademe.fr/51.178.115.149","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","recrutement.ademe.fr/51.178.115.149","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","recrutement.ademe.fr/51.178.115.149","443","INFO","'renegotiation info/#65281' 'server name/#0' 'key share/#51' 'supported versions/#43' 'EC point formats/#11' 'extended master secret/#23'","",""
"TLS_session_ticket","recrutement.ademe.fr/51.178.115.149","443","INFO","no -- no lifetime advertised","",""
